Date,Open,High,Low,Close,Volume
,SNDK,SNDK,SNDK,SNDK,SNDK
8/15/25,43.06000137,46.13000107,42.81999969,44.54000092,7519200
8/18/25,44.25,45.86999893,44.25,45.52000046,2541700
8/19/25,46.22999954,46.5,44.25999832,44.58000183,2372900
8/20/25,44.86000061,45,43.20199966,44.40000153,1526800
8/21/25,43.86999893,45.59999847,43.56000137,45.5,1802300
8/22/25,46.11000061,47.18999863,45.63000107,46.36999893,2208300
8/25/25,46.36000061,46.88000107,46.00999832,46.77999878,1318100
8/26/25,46.75,48.20999908,46.75,47.34999847,2577800
8/27/25,47.40000153,49.08000183,47.40000153,48.43999863,2145100
8/28/25,48.56000137,51.22999954,48.56000137,50.86999893,2919400
8/29/25,51.15000153,52.93999863,50.81999969,52.47000122,4228000
9/2/25,51.00999832,51.70000076,50.06999969,51.06999969,2023400
9/3/25,51.91999817,53.22499847,50.65000153,53.00999832,1689700
9/4/25,55.66999817,62.65000153,55.54999924,62.5,10189000
9/5/25,65.51999664,68.66999817,63.74000168,68.55000305,9050000
9/8/25,68.65000153,71,67.86000061,70.49500275,5869100
9/9/25,70.26000214,71.40000153,69.56999969,70.51000214,3364300
9/10/25,72.41999817,74.48999786,72.02999878,73.91999817,4053000
9/11/25,82.30000305,85.88999939,81.37999725,84.30000305,10167400
9/12/25,85.30999756,86.95999908,82.27999878,86.12999725,5641700
9/15/25,85.30000305,92.05500031,85.12000275,90.08999634,8981300
9/16/25,90.30999756,93.12999725,89.55999756,91.55000305,6292100
9/17/25,90.77500153,94.80999756,90.22000122,93.97000122,7031000
9/18/25,97.30000305,102.9300003,96.85800171,98.87000275,9441900
9/19/25,98,102.9899979,96.70999908,102.2099991,6459900
9/22/25,105.7600021,108.8000031,101.5899963,102.9199982,7692200
9/23/25,105,110.2099991,104.6999969,106.4000015,7835000
9/24/25,103.5550003,107.7200012,96.6309967,99.83000183,12409300
9/25/25,96.26499939,100.4499969,93.53500366,94.29000092,10569300
9/26/25,96,99.64600372,94.38999939,97.12000275,6418000
9/29/25,104.25,114,103.3479996,113.5,12435400
9/30/25,114.0999985,120.7399979,112.1100006,112.1999969,11414800
10/1/25,113.0599976,123.8499985,112,121.1200027,12237400
10/2/25,128.6900024,132.2899933,123.2600021,124.1399994,9453400
10/3/25,128.2899933,137.0500031,126.6999969,128.4100037,10193700
10/6/25,133.6000061,134.7899933,119.2900009,121.1699982,9963900
10/7/25,125.1999969,125.1999969,115.6800003,120.9499969,6594600
10/8/25,121.5,132.2799988,120.1999969,131.8800049,7173400
10/9/25,127,131.6049957,126.1200027,129.6799927,3561500
10/10/25,131.4600067,132,116.1699982,116.9100037,7860200
10/13/25,129.7400055,135.9100037,124.0479965,134.6100006,8297300
10/14/25,123.5899963,130.4799957,120.9599991,127.2900009,7078600
10/15/25,134.75,144.5500031,130.5,144.3000031,8971100
10/16/25,146,149.0899963,141.6999969,144.2700043,6289600
10/17/25,139.2200012,150.8200073,136.2899933,140.1600037,8279800
10/20/25,145.9799957,152.6300049,145.5,148.0399933,6626100
10/21/25,145.8000031,150.1600037,142.7599945,149.2899933,4177900
10/22/25,149.1000061,157.3999939,144.8200073,146.9499969,7516800
10/23/25,146.9949951,167.9499969,146,167.0500031,9011400
10/24/25,174.3999939,187.3600006,173.5,186.1600037,10653100
10/27/25,191.5,191.8500061,173.7200012,176.4900055,11235500
10/28/25,175.4900055,178.8200073,164.5599976,175.5299988,9140800
10/29/25,186.6699982,205.6399994,181.5099945,204.3600006,9365000
10/30/25,192.0200043,204.9199982,191.0899963,195.8200073,7341500
10/31/25,203.5,209.7700043,189.5800018,199.3300018,6920700
11/3/25,210.8500061,213.3999939,189.1000061,207.0099945,10626000
11/4/25,188.1349945,202.9799957,185,194.5700073,9800800
11/5/25,201.8800049,218.9400024,201.8699951,216.5,10336300
11/6/25,212,226.5,205.1799927,207.6900024,10402700
11/7/25,208.4199982,240,203.3999939,239.4799957,20552100
11/10/25,247,270.9100037,247,267.9500122,15276400
11/11/25,262.2900085,275.8699951,255.8699951,271.5799866,12180900
11/12/25,271.5799866,284.7600098,267.0499878,283.1000061,13730300
11/13/25,268,271.8399963,234.1300049,243.5700073,23274900
11/14/25,236,270.4890137,235.0500031,254.1600037,19464400
11/17/25,253.3999939,282.7999878,253,265.8800049,14211500
11/18/25,257.1499939,260.6319885,229.1100006,244.9299927,16433900
11/19/25,251.1100006,256.980011,233.7850037,245.9600067,12005800
11/20/25,252.1699982,254.6000061,192.6199951,195.9600067,26590900
11/21/25,205.3699951,205.5,183,200.2700043,20061000
11/24/25,206.0500031,228.1799927,205.1300049,226.9600067,13798900
11/25/25,228.3999939,229.0690002,209,220.5,14680600
11/26/25,226,228,205.3999939,215.0399933,43000900
11/28/25,225.25,237.7700043,211.7299957,223.2799988,13367500
12/1/25,211.8399963,215.3000031,205.2400055,210.1699982,10280900
12/2/25,211.75,217,192.8000031,205.3500061,11095800
12/3/25,196.6950073,199.1799927,187.6999969,194.3800049,9868200
12/4/25,192.3249969,214.9900055,189.6799927,213.3099976,12166500
12/5/25,212.3999939,229.4499969,211.25,228.4700012,8451300
12/8/25,235.6600037,238.8600006,215.6000061,225.4700012,8710000
12/9/25,222.2700043,224.3300018,213.5,219.4600067,6299000
12/10/25,218,234.1699982,215.1999969,232.8600006,6090400
12/11/25,230,244.1900024,217.6699982,241.6100006,7622500
12/12/25,232.1100006,236,204.8000031,206.1799927,12083200
12/15/25,214.4450073,217,200.3419952,201.8699951,6265000
12/16/25,201.1300049,210.5,199.5,209.3099976,6638400
12/17/25,215.9900055,221.9900055,205.5200043,206.8300018,8232300
12/18/25,222.7350006,231,214,219.4600067,9924100
12/19/25,222.2899933,243.7100067,221,237.6100006,10925000
12/22/25,249.6450043,252,226.6000061,241.0500031,8663400
12/23/25,238.4199982,245.5,234,244.8999939,5305700
12/24/25,244.8999939,261.3699951,244.5,250.0800018,5642600
12/26/25,259.5950012,261.5,245.1000061,250.0500031,5553700
12/29/25,241.5549927,250,236.0099945,244.25,5706200
12/30/25,245.8699951,247.4799957,236.5200043,240.2200012,6617000
12/31/25,241.4149933,241.8999939,235.2400055,237.3800049,4180400
1/2/26,244.3500061,275.7999878,244,275.2399902,11104300
1/5/26,284.2200012,285,266.3299866,274.0799866,9812600
1/6/26,288.7449951,352,288.5,349.6300049,24249700
1/7/26,340.8800049,354.9349976,331.230011,353.5599976,14886100
1/8/26,360.730011,360.9750061,310.7799988,334.5400085,21404400
1/9/26,341.6000061,384,334.5400085,377.4100037,19353200
1/12/26,373.9700012,395.1600037,373.9700012,389.269989,14603900
1/13/26,393.2000122,398,379.4100037,389.8099976,10818600
1/14/26,390,401.2000122,377,387.8099976,10862500
1/15/26,398.8299866,423.3500061,398.6149902,409.2399902,14146600
1/16/26,425.5899963,432.019989,399.7000122,413.6199951,15703000
1/20/26,412.1650085,457.3699951,412.1650085,453.1199951,17872400
1/21/26,463.0499878,501.9500122,448.5299988,501.2900085,21365000
1/22/26,501.2900085,509.4989929,467.5599976,503.4400024,20607500
1/23/26,503.4400024,506.2999878,463.0100098,473.8299866,21061100
1/26/26,476.4849854,494.7000122,454.3299866,470.7999878,13435200
1/27/26,481.0050049,503,471.1499939,481.4299927,14015600
1/28/26,500.1000061,531.4630127,499.1499939,527.6300049,16486300
1/29/26,535.8499756,546.75,507.2399902,539.2999878,23010300
1/30/26,651.2299805,676.6900024,533,576.25,40932100
2/2/26,588.8099976,674,584.0999756,665.2399902,28765800
2/3/26,694.06,725,646.2,695.51,
